0,"1CS-1"
1,"1E-26"
2,"1E-28"
3,"1E-30"
4,"1E-47"
5,"1ES-1"
6,"1F--1"
7,"1F--9"
8,"1FS"
9,"1LU"
10,"1MU"
11,"1SB-1"
12,"1SB10"
13,"2BV-1"
14,"2CU"
15,"2F--2"
16,"2HV-1"
17,"2MR"
18,"2R--1"
19,"2SH-1"
20,"2SHR1"
21,"3A--1"
22,"3A--2"
23,"3A-J1"
24,"3A-P2"
25,"3A-P9"
26,"3AS-8"
27,"3AS10"
28,"3B--1"
29,"3BLF"
30,"3BLFS"
31,"3E-4J"
32,"3ES-6"
33,"3FWS"
34,"3JCFR"
35,"3JCM"
36,"3KL"
37,"3MA-1"
38,"3PA-1"
39,"4E-11"
40,"4E-20"
41,"4E-32"
42,"4E-41"
43,"4E-4J"
44,"4E-51"
45,"4ES-4"
46,"4FW"
47,"4PE"
48,"5AS-5"
49,"5BL"
50,"5BLFS"
51,"5KT-1"
52,"5KT-4"
53,"5KT-5"
54,"5KT-6"
55,"5KTF6"
56,"5MC"
57,"5MK-5"
58,"5MK-7"
59,"5MK-9"
60,"5MK-9A"
61,"5MKS8"
62,"5PA-3"
63,"5PAS"
64,"5T--1"
65,"5TU-4"
