Precinct,Precinct ID,Precinct Reporting,Registered Voters,Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,,,Vote By Mail Votes,Vote By Mail Overvotes,Vote By Mail Undervotes,Vote By Mail Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes
1CS-1,6994,Reporting,3569,3011,84.37,PRESIDENT AND VICE PRESIDENT,1010,NP,JOSEPH R. BIDEN and KAMALA D. HARRIS,4,DEM,1650,2,37,0,,,1591,2,35,0,44,0,1,0,15,0,1,0
1CS-1,6994,Reporting,3569,3011,84.37,PRESIDENT AND VICE PRESIDENT,1010,NP,DONALD J. TRUMP and MICHAEL R. PENCE,3,REP,1205,2,37,0,,,1054,2,35,0,75,0,1,0,76,0,1,0
1CS-1,6994,Reporting,3569,3011,84.37,PRESIDENT AND VICE PRESIDENT,1010,NP,GLORIA LA RIVA and SUNIL FREEMAN,1,PF,9,2,37,0,,,9,2,35,0,0,0,1,0,0,0,1,0
1CS-1,6994,Reporting,3569,3011,84.37,PRESIDENT AND VICE PRESIDENT,1010,NP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA and KANYE OMARI WEST",6,AIP,10,2,37,0,,,10,2,35,0,0,0,1,0,0,0,1,0
1CS-1,6994,Reporting,3569,3011,84.37,PRESIDENT AND VICE PRESIDENT,1010,NP,HOWIE HAWKINS and ANGELA NICOLE WALKER,2,GRN,21,2,37,0,,,20,2,35,0,1,0,1,0,0,0,1,0
1CS-1,6994,Reporting,3569,3011,84.37,PRESIDENT AND VICE PRESIDENT,1010,NP,"JO JORGENSEN and JEREMY ""SPIKE"" COHEN",5,LIB,53,2,37,0,,,48,2,35,0,5,0,1,0,0,0,1,0
1CS-1,6994,Reporting,3569,3011,84.37,PRESIDENT AND VICE PRESIDENT,1010,NP,BRIAN CARROLL and AMAR PATEL,0,,0,2,37,0,,,0,2,35,0,0,0,1,0,0,0,1,0
1CS-1,6994,Reporting,3569,3011,84.37,PRESIDENT AND VICE PRESIDENT,1010,NP,BROCK PIERCE and KARLA BALLARD,0,,0,2,37,0,,,0,2,35,0,0,0,1,0,0,0,1,0
1CS-1,6994,Reporting,3569,3011,84.37,PRESIDENT AND VICE PRESIDENT,1010,NP,JESSE VENTURA and CYNTHIA MCKINNEY,0,,0,2,37,0,,,0,2,35,0,0,0,1,0,0,0,1,0
1CS-1,6994,Reporting,3569,3011,84.37,PRESIDENT AND VICE PRESIDENT,1010,NP,JOSEPH KISHORE and NORISSA SANTA CRUZ,0,,0,2,37,0,,,0,2,35,0,0,0,1,0,0,0,1,0
