1	1CS-1	PRESIDENT AND VICE PRESIDENT	JOSEPH R. BIDEN and KAMALA D. HARRIS
2	1CS-1	PRESIDENT AND VICE PRESIDENT	DONALD J. TRUMP and MICHAEL R. PENCE
3	1CS-1	PRESIDENT AND VICE PRESIDENT	GLORIA LA RIVA and SUNIL FREEMAN
4	1CS-1	PRESIDENT AND VICE PRESIDENT	"ROQUE ""ROCKY"" DE LA FUENTE GUERRA and KANYE OMARI WEST"
5	1CS-1	PRESIDENT AND VICE PRESIDENT	HOWIE HAWKINS and ANGELA NICOLE WALKER
6	1CS-1	PRESIDENT AND VICE PRESIDENT	"JO JORGENSEN and JEREMY ""SPIKE"" COHEN"
7	1CS-1	PRESIDENT AND VICE PRESIDENT	BRIAN CARROLL and AMAR PATEL
8	1CS-1	PRESIDENT AND VICE PRESIDENT	BROCK PIERCE and KARLA BALLARD
9	1CS-1	PRESIDENT AND VICE PRESIDENT	JESSE VENTURA and CYNTHIA MCKINNEY
10	1CS-1	PRESIDENT AND VICE PRESIDENT	JOSEPH KISHORE and NORISSA SANTA CRUZ
11	1CS-1	PRESIDENT AND VICE PRESIDENT	MARK CHARLES and ADRIAN WALLACE
12	1CS-1	PRESIDENT AND VICE PRESIDENT	Rejected write-ins
13	1CS-1	PRESIDENT AND VICE PRESIDENT	Unassigned write-ins
14	1CS-1	US REPRESENTATIVE DISTRICT 2	JARED HUFFMAN
15	1CS-1	US REPRESENTATIVE DISTRICT 2	DALE K. MENSING
16	1CS-1	STATE ASSEMBLY DISTRICT 2	CHARLOTTE SVOLOS
17	1CS-1	STATE ASSEMBLY DISTRICT 2	JIM WOOD
18	1CS-1	CUTTEN ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER	KAREN BAZZANO
19	1CS-1	CUTTEN ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER	REBECCA REECE
20	1CS-1	CUTTEN ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER	BETH JOHNSTON
21	1CS-1	CUTTEN ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER	Rejected write-ins
22	1CS-1	CUTTEN ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER	Unassigned write-ins
23	1CS-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	HEIDI BENZONELLI
24	1CS-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	MICHAEL P. HANSEN
25	1CS-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	DAVID HAYNIE
26	1CS-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	DAVID SAUNDERSON
27	1CS-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	JOSH SEHON
28	1CS-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	JOE MATTEOLI
29	1CS-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	Rejected write-ins
30	1CS-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	Unassigned write-ins
31	1CS-1	Proposition 14	Bonds Yes
32	1CS-1	Proposition 14	Bonds No
33	1CS-1	Proposition 15	Yes
34	1CS-1	Proposition 15	No
35	1CS-1	Proposition 16	Yes
36	1CS-1	Proposition 16	No
37	1CS-1	Proposition 17	Yes
38	1CS-1	Proposition 17	No
39	1CS-1	Proposition 18	Yes
40	1CS-1	Proposition 18	No
41	1CS-1	Proposition 19	Yes
42	1CS-1	Proposition 19	No
43	1CS-1	Proposition 20	Yes
44	1CS-1	Proposition 20	No
45	1CS-1	Proposition 21	Yes
46	1CS-1	Proposition 21	No
47	1CS-1	Proposition 22	Yes
48	1CS-1	Proposition 22	No
49	1CS-1	Proposition 23	Yes
50	1CS-1	Proposition 23	No
51	1CS-1	Proposition 24	Yes
52	1CS-1	Proposition 24	No
53	1CS-1	Proposition 25	Yes
54	1CS-1	Proposition 25	No
55	1CS-1	Measure I County of Humboldt, Unincorporated Area	Yes
56	1CS-1	Measure I County of Humboldt, Unincorporated Area	No
57	1E-26	PRESIDENT AND VICE PRESIDENT	JOSEPH R. BIDEN and KAMALA D. HARRIS
58	1E-26	PRESIDENT AND VICE PRESIDENT	DONALD J. TRUMP and MICHAEL R. PENCE
59	1E-26	PRESIDENT AND VICE PRESIDENT	GLORIA LA RIVA and SUNIL FREEMAN
60	1E-26	PRESIDENT AND VICE PRESIDENT	"ROQUE ""ROCKY"" DE LA FUENTE GUERRA and KANYE OMARI WEST"
61	1E-26	PRESIDENT AND VICE PRESIDENT	HOWIE HAWKINS and ANGELA NICOLE WALKER
62	1E-26	PRESIDENT AND VICE PRESIDENT	"JO JORGENSEN and JEREMY ""SPIKE"" COHEN"
63	1E-26	PRESIDENT AND VICE PRESIDENT	BRIAN CARROLL and AMAR PATEL
64	1E-26	PRESIDENT AND VICE PRESIDENT	BROCK PIERCE and KARLA BALLARD
65	1E-26	PRESIDENT AND VICE PRESIDENT	JESSE VENTURA and CYNTHIA MCKINNEY
66	1E-26	PRESIDENT AND VICE PRESIDENT	JOSEPH KISHORE and NORISSA SANTA CRUZ
67	1E-26	PRESIDENT AND VICE PRESIDENT	MARK CHARLES and ADRIAN WALLACE
68	1E-26	PRESIDENT AND VICE PRESIDENT	Rejected write-ins
69	1E-26	PRESIDENT AND VICE PRESIDENT	Unassigned write-ins
70	1E-26	US REPRESENTATIVE DISTRICT 2	JARED HUFFMAN
71	1E-26	US REPRESENTATIVE DISTRICT 2	DALE K. MENSING
72	1E-26	STATE ASSEMBLY DISTRICT 2	CHARLOTTE SVOLOS
73	1E-26	STATE ASSEMBLY DISTRICT 2	JIM WOOD
74	1E-26	CITY OF EUREKA COUNCILMEMBER WARD 2	TAMAR SHIRLEY
75	1E-26	CITY OF EUREKA COUNCILMEMBER WARD 2	KATI MOULTON
76	1E-26	CITY OF EUREKA COUNCILMEMBER WARD 2	DOT JAGER- WENTWORTH
77	1E-26	CITY OF EUREKA COUNCILMEMBER WARD 2	LUCINDA JACKSON
78	1E-26	CITY OF EUREKA COUNCILMEMBER WARD 2	Rejected write-ins
79	1E-26	CITY OF EUREKA COUNCILMEMBER WARD 2	Unassigned write-ins
80	1E-26	Proposition 14	Bonds Yes
81	1E-26	Proposition 14	Bonds No
82	1E-26	Proposition 15	Yes
83	1E-26	Proposition 15	No
84	1E-26	Proposition 16	Yes
85	1E-26	Proposition 16	No
86	1E-26	Proposition 17	Yes
87	1E-26	Proposition 17	No
88	1E-26	Proposition 18	Yes
89	1E-26	Proposition 18	No
90	1E-26	Proposition 19	Yes
91	1E-26	Proposition 19	No
92	1E-26	Proposition 20	Yes
93	1E-26	Proposition 20	No
94	1E-26	Proposition 21	Yes
95	1E-26	Proposition 21	No
96	1E-26	Proposition 22	Yes
97	1E-26	Proposition 22	No
98	1E-26	Proposition 23	Yes
99	1E-26	Proposition 23	No
100	1E-26	Proposition 24	Yes
101	1E-26	Proposition 24	No
102	1E-26	Proposition 25	Yes
103	1E-26	Proposition 25	No
104	1E-26	Measure C City Of Eureka, Charter Amendment	Yes
105	1E-26	Measure C City Of Eureka, Charter Amendment	No
106	1E-26	Measure H City Of Eureka, Supplemental Transaction and Use Tax	Yes
107	1E-26	Measure H City Of Eureka, Supplemental Transaction and Use Tax	No
108	1E-28	PRESIDENT AND VICE PRESIDENT	JOSEPH R. BIDEN and KAMALA D. HARRIS
109	1E-28	PRESIDENT AND VICE PRESIDENT	DONALD J. TRUMP and MICHAEL R. PENCE
110	1E-28	PRESIDENT AND VICE PRESIDENT	GLORIA LA RIVA and SUNIL FREEMAN
111	1E-28	PRESIDENT AND VICE PRESIDENT	"ROQUE ""ROCKY"" DE LA FUENTE GUERRA and KANYE OMARI WEST"
112	1E-28	PRESIDENT AND VICE PRESIDENT	HOWIE HAWKINS and ANGELA NICOLE WALKER
113	1E-28	PRESIDENT AND VICE PRESIDENT	"JO JORGENSEN and JEREMY ""SPIKE"" COHEN"
114	1E-28	PRESIDENT AND VICE PRESIDENT	BRIAN CARROLL and AMAR PATEL
115	1E-28	PRESIDENT AND VICE PRESIDENT	BROCK PIERCE and KARLA BALLARD
116	1E-28	PRESIDENT AND VICE PRESIDENT	JESSE VENTURA and CYNTHIA MCKINNEY
117	1E-28	PRESIDENT AND VICE PRESIDENT	JOSEPH KISHORE and NORISSA SANTA CRUZ
118	1E-28	PRESIDENT AND VICE PRESIDENT	MARK CHARLES and ADRIAN WALLACE
119	1E-28	PRESIDENT AND VICE PRESIDENT	Rejected write-ins
120	1E-28	PRESIDENT AND VICE PRESIDENT	Unassigned write-ins
121	1E-28	US REPRESENTATIVE DISTRICT 2	JARED HUFFMAN
122	1E-28	US REPRESENTATIVE DISTRICT 2	DALE K. MENSING
123	1E-28	STATE ASSEMBLY DISTRICT 2	CHARLOTTE SVOLOS
124	1E-28	STATE ASSEMBLY DISTRICT 2	JIM WOOD
125	1E-28	CITY OF EUREKA COUNCILMEMBER WARD 2	TAMAR SHIRLEY
126	1E-28	CITY OF EUREKA COUNCILMEMBER WARD 2	KATI MOULTON
127	1E-28	CITY OF EUREKA COUNCILMEMBER WARD 2	DOT JAGER- WENTWORTH
128	1E-28	CITY OF EUREKA COUNCILMEMBER WARD 2	LUCINDA JACKSON
129	1E-28	CITY OF EUREKA COUNCILMEMBER WARD 2	Rejected write-ins
130	1E-28	CITY OF EUREKA COUNCILMEMBER WARD 2	Unassigned write-ins
131	1E-28	Proposition 14	Bonds Yes
132	1E-28	Proposition 14	Bonds No
133	1E-28	Proposition 15	Yes
134	1E-28	Proposition 15	No
135	1E-28	Proposition 16	Yes
136	1E-28	Proposition 16	No
137	1E-28	Proposition 17	Yes
138	1E-28	Proposition 17	No
139	1E-28	Proposition 18	Yes
140	1E-28	Proposition 18	No
141	1E-28	Proposition 19	Yes
142	1E-28	Proposition 19	No
143	1E-28	Proposition 20	Yes
144	1E-28	Proposition 20	No
145	1E-28	Proposition 21	Yes
146	1E-28	Proposition 21	No
147	1E-28	Proposition 22	Yes
148	1E-28	Proposition 22	No
149	1E-28	Proposition 23	Yes
150	1E-28	Proposition 23	No
151	1E-28	Proposition 24	Yes
152	1E-28	Proposition 24	No
153	1E-28	Proposition 25	Yes
154	1E-28	Proposition 25	No
155	1E-28	Measure D South Bay Union School District Bond	Bonds Yes
156	1E-28	Measure D South Bay Union School District Bond	Bonds No
157	1E-28	Measure C City Of Eureka, Charter Amendment	Yes
158	1E-28	Measure C City Of Eureka, Charter Amendment	No
159	1E-28	Measure H City Of Eureka, Supplemental Transaction and Use Tax	Yes
160	1E-28	Measure H City Of Eureka, Supplemental Transaction and Use Tax	No
161	1E-30	PRESIDENT AND VICE PRESIDENT	JOSEPH R. BIDEN and KAMALA D. HARRIS
162	1E-30	PRESIDENT AND VICE PRESIDENT	DONALD J. TRUMP and MICHAEL R. PENCE
163	1E-30	PRESIDENT AND VICE PRESIDENT	GLORIA LA RIVA and SUNIL FREEMAN
164	1E-30	PRESIDENT AND VICE PRESIDENT	"ROQUE ""ROCKY"" DE LA FUENTE GUERRA and KANYE OMARI WEST"
165	1E-30	PRESIDENT AND VICE PRESIDENT	HOWIE HAWKINS and ANGELA NICOLE WALKER
166	1E-30	PRESIDENT AND VICE PRESIDENT	"JO JORGENSEN and JEREMY ""SPIKE"" COHEN"
167	1E-30	PRESIDENT AND VICE PRESIDENT	BRIAN CARROLL and AMAR PATEL
168	1E-30	PRESIDENT AND VICE PRESIDENT	BROCK PIERCE and KARLA BALLARD
169	1E-30	PRESIDENT AND VICE PRESIDENT	JESSE VENTURA and CYNTHIA MCKINNEY
170	1E-30	PRESIDENT AND VICE PRESIDENT	JOSEPH KISHORE and NORISSA SANTA CRUZ
171	1E-30	PRESIDENT AND VICE PRESIDENT	MARK CHARLES and ADRIAN WALLACE
172	1E-30	PRESIDENT AND VICE PRESIDENT	Rejected write-ins
173	1E-30	PRESIDENT AND VICE PRESIDENT	Unassigned write-ins
174	1E-30	US REPRESENTATIVE DISTRICT 2	JARED HUFFMAN
175	1E-30	US REPRESENTATIVE DISTRICT 2	DALE K. MENSING
176	1E-30	STATE ASSEMBLY DISTRICT 2	CHARLOTTE SVOLOS
177	1E-30	STATE ASSEMBLY DISTRICT 2	JIM WOOD
178	1E-30	Proposition 14	Bonds Yes
179	1E-30	Proposition 14	Bonds No
180	1E-30	Proposition 15	Yes
181	1E-30	Proposition 15	No
182	1E-30	Proposition 16	Yes
183	1E-30	Proposition 16	No
184	1E-30	Proposition 17	Yes
185	1E-30	Proposition 17	No
186	1E-30	Proposition 18	Yes
187	1E-30	Proposition 18	No
188	1E-30	Proposition 19	Yes
189	1E-30	Proposition 19	No
190	1E-30	Proposition 20	Yes
191	1E-30	Proposition 20	No
192	1E-30	Proposition 21	Yes
193	1E-30	Proposition 21	No
194	1E-30	Proposition 22	Yes
195	1E-30	Proposition 22	No
196	1E-30	Proposition 23	Yes
197	1E-30	Proposition 23	No
198	1E-30	Proposition 24	Yes
199	1E-30	Proposition 24	No
200	1E-30	Proposition 25	Yes
201	1E-30	Proposition 25	No
202	1E-30	Measure C City Of Eureka, Charter Amendment	Yes
203	1E-30	Measure C City Of Eureka, Charter Amendment	No
204	1E-30	Measure H City Of Eureka, Supplemental Transaction and Use Tax	Yes
205	1E-30	Measure H City Of Eureka, Supplemental Transaction and Use Tax	No
206	1E-47	PRESIDENT AND VICE PRESIDENT	JOSEPH R. BIDEN and KAMALA D. HARRIS
207	1E-47	PRESIDENT AND VICE PRESIDENT	DONALD J. TRUMP and MICHAEL R. PENCE
208	1E-47	PRESIDENT AND VICE PRESIDENT	GLORIA LA RIVA and SUNIL FREEMAN
209	1E-47	PRESIDENT AND VICE PRESIDENT	"ROQUE ""ROCKY"" DE LA FUENTE GUERRA and KANYE OMARI WEST"
210	1E-47	PRESIDENT AND VICE PRESIDENT	HOWIE HAWKINS and ANGELA NICOLE WALKER
211	1E-47	PRESIDENT AND VICE PRESIDENT	"JO JORGENSEN and JEREMY ""SPIKE"" COHEN"
212	1E-47	PRESIDENT AND VICE PRESIDENT	BRIAN CARROLL and AMAR PATEL
213	1E-47	PRESIDENT AND VICE PRESIDENT	BROCK PIERCE and KARLA BALLARD
214	1E-47	PRESIDENT AND VICE PRESIDENT	JESSE VENTURA and CYNTHIA MCKINNEY
215	1E-47	PRESIDENT AND VICE PRESIDENT	JOSEPH KISHORE and NORISSA SANTA CRUZ
216	1E-47	PRESIDENT AND VICE PRESIDENT	MARK CHARLES and ADRIAN WALLACE
217	1E-47	PRESIDENT AND VICE PRESIDENT	Rejected write-ins
218	1E-47	PRESIDENT AND VICE PRESIDENT	Unassigned write-ins
219	1E-47	US REPRESENTATIVE DISTRICT 2	JARED HUFFMAN
220	1E-47	US REPRESENTATIVE DISTRICT 2	DALE K. MENSING
221	1E-47	STATE ASSEMBLY DISTRICT 2	CHARLOTTE SVOLOS
222	1E-47	STATE ASSEMBLY DISTRICT 2	JIM WOOD
223	1E-47	CITY OF EUREKA COUNCILMEMBER WARD 4	SCOTT BAUER
224	1E-47	CITY OF EUREKA COUNCILMEMBER WARD 4	WILLIAM A. TUTTLE JR
225	1E-47	CITY OF EUREKA COUNCILMEMBER WARD 4	MATTHEW OWEN
226	1E-47	CITY OF EUREKA COUNCILMEMBER WARD 4	EDDIE MORGAN
227	1E-47	CITY OF EUREKA COUNCILMEMBER WARD 4	LIZA WELSH
228	1E-47	CITY OF EUREKA COUNCILMEMBER WARD 4	Rejected write-ins
229	1E-47	CITY OF EUREKA COUNCILMEMBER WARD 4	Unassigned write-ins
230	1E-47	Proposition 14	Bonds Yes
231	1E-47	Proposition 14	Bonds No
232	1E-47	Proposition 15	Yes
233	1E-47	Proposition 15	No
234	1E-47	Proposition 16	Yes
235	1E-47	Proposition 16	No
236	1E-47	Proposition 17	Yes
237	1E-47	Proposition 17	No
238	1E-47	Proposition 18	Yes
239	1E-47	Proposition 18	No
240	1E-47	Proposition 19	Yes
241	1E-47	Proposition 19	No
242	1E-47	Proposition 20	Yes
243	1E-47	Proposition 20	No
244	1E-47	Proposition 21	Yes
245	1E-47	Proposition 21	No
246	1E-47	Proposition 22	Yes
247	1E-47	Proposition 22	No
248	1E-47	Proposition 23	Yes
249	1E-47	Proposition 23	No
250	1E-47	Proposition 24	Yes
251	1E-47	Proposition 24	No
252	1E-47	Proposition 25	Yes
253	1E-47	Proposition 25	No
254	1E-47	Measure C City Of Eureka, Charter Amendment	Yes
255	1E-47	Measure C City Of Eureka, Charter Amendment	No
256	1E-47	Measure H City Of Eureka, Supplemental Transaction and Use Tax	Yes
257	1E-47	Measure H City Of Eureka, Supplemental Transaction and Use Tax	No
258	1ES-1	PRESIDENT AND VICE PRESIDENT	JOSEPH R. BIDEN and KAMALA D. HARRIS
259	1ES-1	PRESIDENT AND VICE PRESIDENT	DONALD J. TRUMP and MICHAEL R. PENCE
260	1ES-1	PRESIDENT AND VICE PRESIDENT	GLORIA LA RIVA and SUNIL FREEMAN
261	1ES-1	PRESIDENT AND VICE PRESIDENT	"ROQUE ""ROCKY"" DE LA FUENTE GUERRA and KANYE OMARI WEST"
262	1ES-1	PRESIDENT AND VICE PRESIDENT	HOWIE HAWKINS and ANGELA NICOLE WALKER
263	1ES-1	PRESIDENT AND VICE PRESIDENT	"JO JORGENSEN and JEREMY ""SPIKE"" COHEN"
264	1ES-1	PRESIDENT AND VICE PRESIDENT	BRIAN CARROLL and AMAR PATEL
265	1ES-1	PRESIDENT AND VICE PRESIDENT	BROCK PIERCE and KARLA BALLARD
266	1ES-1	PRESIDENT AND VICE PRESIDENT	JESSE VENTURA and CYNTHIA MCKINNEY
267	1ES-1	PRESIDENT AND VICE PRESIDENT	JOSEPH KISHORE and NORISSA SANTA CRUZ
268	1ES-1	PRESIDENT AND VICE PRESIDENT	MARK CHARLES and ADRIAN WALLACE
269	1ES-1	PRESIDENT AND VICE PRESIDENT	Rejected write-ins
270	1ES-1	PRESIDENT AND VICE PRESIDENT	Unassigned write-ins
271	1ES-1	US REPRESENTATIVE DISTRICT 2	JARED HUFFMAN
272	1ES-1	US REPRESENTATIVE DISTRICT 2	DALE K. MENSING
273	1ES-1	STATE ASSEMBLY DISTRICT 2	CHARLOTTE SVOLOS
274	1ES-1	STATE ASSEMBLY DISTRICT 2	JIM WOOD
275	1ES-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	HEIDI BENZONELLI
276	1ES-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	MICHAEL P. HANSEN
277	1ES-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	DAVID HAYNIE
278	1ES-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	DAVID SAUNDERSON
279	1ES-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	JOSH SEHON
280	1ES-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	JOE MATTEOLI
281	1ES-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	Rejected write-ins
282	1ES-1	HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR	Unassigned write-ins
283	1ES-1	Proposition 14	Bonds Yes
284	1ES-1	Proposition 14	Bonds No
285	1ES-1	Proposition 15	Yes
286	1ES-1	Proposition 15	No
287	1ES-1	Proposition 16	Yes
288	1ES-1	Proposition 16	No
289	1ES-1	Proposition 17	Yes
290	1ES-1	Proposition 17	No
291	1ES-1	Proposition 18	Yes
292	1ES-1	Proposition 18	No
293	1ES-1	Proposition 19	Yes
294	1ES-1	Proposition 19	No
295	1ES-1	Proposition 20	Yes
