Proposition 14	"AUTHORIZES BONDS CONTINUING STEM CELL RESEARCH. INITIATIVE STATUTE. Authorizes $5.5 billion state bonds for: stem cell and other medical research, including training; research facility construction; administrative costs. Dedicates $1.5 billion to brain-related diseases. Appropriates General Fund moneys for repayment. Expands related programs. Fiscal Impact: Increased state costs to repay bonds estimated at about $260 million per year over the next roughly 30 years."
Proposition 15	"INCREASES FUNDING SOURCES FOR PUBLIC SCHOOLS, COMMUNITY COLLEGES, AND LOCAL GOVERNMENT SERVICES BY CHANGING TAX ASSESSMENT OF COMMERCIAL AND INDUSTRIAL PROPERTY. INITIATIVE CONSTITUTIONAL AMENDMENT. Taxes such properties based on current market value, instead of purchase price. Fiscal Impact: Increased property taxes on commercial properties worth more than $3 million providing $6.5 billion to $11.5 billion in new funding to local governments and schools."
Proposition 16	"ALLOWS DIVERSITY AS A FACTOR IN PUBLIC EMPLOYMENT, EDUCATION, AND CONTRACTING DECISIONS. LEGISLATIVE CONSTITUTIONAL AMENDMENT. Permits government decision-making policies to consider race, sex, color, ethnicity, or national origin in order to address diversity by repealing constitutional provision prohibiting such policies. Fiscal Impact: No direct fiscal effect on state and local entities. The effects of the measure depend on the future choices of state and local government entities and are highly uncertain."
Proposition 17	"RESTORES RIGHT TO VOTE AFTER COMPLETION OF PRISON TERM. LEGISLATIVE CONSTITUTIONAL AMENDMENT.Restores voting rights upon completion of prison term to persons who have been disqualified from voting while serving a prison term. Fiscal Impact: Annual county costs, likely in the hundreds of thousands of dollars statewide, for voter registration and ballot materials. One-time state costs, likely in the hundreds of thousands of dollars, for voter registration cards and systems."
Proposition 18	"AMENDS CALIFORNIA CONSTITUTION TO PERMIT 17-YEAR-OLDS TO VOTE IN PRIMARY AND SPECIAL ELECTIONS IF THEY WILL TURN 18 BY THE NEXT GENERAL ELECTION AND BE OTHERWISE ELIGIBLE TO VOTE. LEGISLATIVE CONSTITUTIONAL AMENDMENT.
Fiscal Impact: Increased statewide county costs likely between several hundreds of thousands of dollars and $1 million every two years. Increased one-time costs to the state of hundreds of thousands of dollars."
Proposition 19	"CHANGES CERTAIN PROPERTY TAX RULES. LEGISLATIVE CONSTITUTIONAL AMENDMENT. Allows homeowners who are over 55, disabled, or wildfire/disaster victims to transfer primary residence’s tax base to replacement residence. Changes taxation of family-property transfers. Establishes fire protection services fund. Fiscal Impact: Local governments could gain tens of millions of dollars of property tax revenue per year, probably growing over time to a few hundred million dollars per year. Schools could receive similar property tax gains."
Proposition 20	"RESTRICTS PAROLE FOR CERTAIN OFFENSES CURRENTLY CONSIDERED TO BE NON-VIOLENT. AUTHORIZES FELONY SENTENCES FOR CERTAIN OFFENSES CURRENTLY TREATED ONLY AS MISDEMEANORS. INITIATIVE STATUTE. Limits access to parole program established for non-violent offenders who have completed the full term of their primary offense by eliminating eligibility for certain offenses. Fiscal Impact: Increase in state and local correctional, court, and law enforcement costs likely in the tens of millions of dollars annually, depending on implementation."
Proposition 21	"EXPANDS LOCAL GOVERNMENTS' AUTHORITY TO ENACT RENT CONTROL ON RESIDENTIAL PROPERTY. INITIATIVE STATUTE. Allows local governments to establish rent control on residential properties over 15 years old. Local limits on rate increases may differ from statewide limit. Fiscal Impact: Overall, a potential reduction in state and local revenues in the high tens of millions of dollars per year over time. Depending on actions by local communities, revenue losses could be less or more."
Proposition 22	"EXEMPTS APP-BASED TRANSPORTATION AND DELIVERY COMPANIES FROM PROVIDING EMPLOYEE BENEFITS TO CERTAIN DRIVERS. INITIATIVE STATUTE. Classifies app-based drivers as ""independent contractors,"" instead of ""employees,"" and provides independent-contractor drivers other compensation, unless certain criteria are met. Fiscal Impact: Minor increase in state income taxes paid by rideshare and delivery company drivers and investors."
Proposition 23	"ESTABLISHES STATE REQUIREMENTS FOR KIDNEY DIALYSIS CLINICS. REQUIRES ON-SITE MEDICAL PROFESSIONAL. INITIATIVE STATUTE. Requires physician, nurse practitioner or physician assistant on site during dialysis treatment. Prohibits clinics from reducing services without state approval. Prohibits clinics from refusing to treat patients based on payment source. Fiscal Impact: Increased state and local government costs likely in the low tens of millions of dollars annually."
Proposition 24	"AMENDS CONSUMER PRIVACY LAWS. INITIATIVE STATUTE. Permits consumers to: prevent businesses from sharing personal information, correct inaccurate personal information, and limit businesses’ use of ""sensitive personal information,"" including precise geolocation, race, ethnicity, and health information. Establishes California Privacy Protection Agency. Fiscal Impact: Increased annual state costs of at least $10 million, but unlikely exceeding low tens of millions of dollars, to enforce expanded consumer privacy laws. Some costs would be offset by penalties for violating these laws."
Proposition 25	"REFERENDUM ON LAW THAT REPLACED MONEY BAIL WITH SYSTEM BASED ON PUBLIC SAFETY AND FLIGHT RISK. A ""Yes"" vote approves, and a ""No"" vote rejects, law replacing money bail with system based on public safety and flight risk. Fiscal Impact: Increased costs possibly in mid hundreds of millions of dollars annually for a new process for release from jail prior to trial. Decreased county jail costs, possibly in high tens of millions of dollars annually."
